id,title,release_date,imdb_score
13,Maleficent: Mistress of Evil,Other,7
14,The Bourne Supremacy,SummerVacation,7.7
14,Unbreakable,Christmas,7.3
14,Brother Bear,Christmas,6.8
14,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Christmas,7.3
14,Monsters vs. Aliens,Easter,6.4
14,Godzilla,SummerVacation,6.4
14,xXx,SummerVacation,5.9
14,Alvin and the Chipmunks,Christmas,5.2
14,Wreck-It Ralph,Christmas,7.7
14,Justice League,Christmas,6.4
14,Star Trek Into Darkness,SummerVacation,7.7
14,Wedding Crashers,SummerVacation,6.9
14,TRON: Legacy,Christmas,6.8
14,X-Men: Apocalypse,SummerVacation,6.9
14,The Revenant,Other,8
14,Rise of the Planet of the Apes,SummerVacation,7.6
15,Wanted,SummerVacation,6.7
15,Thor,SummerVacation,7
15,Robots,Easter,6.3
15,Hulk,SummerVacation,5.6
15,Eragon,Christmas,5.1
15,Gone in 60 Seconds,SummerVacation,6.5
15,Scooby-Doo,SummerVacation,5
15,Enchanted,Christmas,7
15,X-Men Origins: Wolverine,SummerVacation,6.6
15,The Karate Kid,SummerVacation,6.2
15,The Meg,SummerVacation,5.7
15,Ant-Man,SummerVacation,7.3
15,Pok<U+00C3><U+00A9>mon Detective Pikachu,SummerVacation,6.7
15,Rio 2,Easter,6.3
15,The Wolverine,SummerVacation,6.7
15,Logan,Easter,8.1
16,Lilo & Stitch,SummerVacation,7.2
16,Django Unchained,Christmas,8.4
16,The Secret Life of Pets 2,SummerVacation,6.5
16,Ocean's Thirteen,SummerVacation,6.9
16,Click,SummerVacation,6.4
16,Teenage Mutant Ninja Turtles,SummerVacation,5.8
16,Black Swan,Christmas,8
16,Constantine,Other,7
16,Transformers: The Last Knight,SummerVacation,5.2
16,Lara Croft: Tomb Raider,SummerVacation,5.8
16,Pacific Rim,SummerVacation,6.9
16,The Curious Case of Benjamin Button,Christmas,7.8
16,Terminator Salvation,SummerVacation,6.5
16,Hotel Transylvania 2,Other,6.7
16,La La Land,Christmas,8
16,Ralph Breaks the Internet,Christmas,7.1
17,Megamind,Christmas,7.2
17,The Holiday,Christmas,6.9
17,Vertical Limit,Christmas,5.9
17,Flightplan,Other,6.3
17,The Ring,Other,7.1
17,The Lego Movie,Other,7.8
17,The Adventures of Tintin,Christmas,7.3
17,Bolt,Christmas,6.8
17,Fantastic 4: Rise of the Silver Surfer,SummerVacation,5.6
17,2 Fast 2 Furious,SummerVacation,5.9
17,Kong: Skull Island,Easter,6.6
17,A.I. Artificial Intelligence,SummerVacation,7.2
17,Fast & Furious,Easter,6.6
17,Prometheus,SummerVacation,7
17,San Andreas,SummerVacation,6
17,Hotel Transylvania 3: Summer Vacation,SummerVacation,6.3
17,The Wolf of Wall Street,Christmas,8.2
18,8 Mile,Christmas,7.1
18,Bee Movie,Christmas,6.1
18,Captain America: The First Avenger,SummerVacation,6.9
18,Snow White and the Huntsman,SummerVacation,6.1
18,Fahrenheit 9/11,SummerVacation,7.5
18,The Patriot,SummerVacation,7.2
18,Horton Hears a Who!,Easter,6.8
18,Prince of Persia: The Sands of Time,SummerVacation,6.6
18,American Wedding,SummerVacation,6.3
18,The Break-Up,SummerVacation,5.8
18,The Boss Baby,Easter,6.3
18,Robin Hood,SummerVacation,6.6
18,G.I. Joe: Retaliation,Easter,5.8
18,Jason Bourne,SummerVacation,6.6
18,Terminator Genisys,SummerVacation,6.4
19,Alita: Battle Angel,Other,7.4
19,A Christmas Carol,Christmas,6.8
19,Fun with Dick and Jane,Christmas,6.1
19,Ice Age: Collision Course,SummerVacation,5.7
19,Open Season,Other,6.1
