"year","character_name","n"
1929,"Monica",182
1929,"Ross",414
1929,"Chandler",21
1929,"Joey",22
1930,"Rachel",1267
1930,"Phoebe",164
1930,"Monica",168
1930,"Ross",498
1930,"Chandler",14
1930,"Joey",29
1931,"Rachel",1171
1931,"Phoebe",143
1931,"Monica",192
1931,"Ross",461
1931,"Chandler",28
1931,"Joey",31
1932,"Rachel",1266
1932,"Phoebe",146
1932,"Monica",215
1932,"Ross",423
1932,"Chandler",18
1932,"Joey",40
1933,"Rachel",1151
1933,"Phoebe",143
1933,"Monica",213
1933,"Ross",415
1933,"Chandler",25
1933,"Joey",36
1934,"Rachel",1194
1934,"Phoebe",127
1934,"Monica",259
1934,"Ross",447
1934,"Chandler",29
1934,"Joey",37
1935,"Rachel",1210
1935,"Phoebe",127
1935,"Monica",332
1935,"Ross",427
1935,"Chandler",25
1935,"Joey",44
1936,"Rachel",1224
1936,"Phoebe",139
1936,"Monica",273
1936,"Ross",481
1936,"Chandler",20
1936,"Joey",43
1937,"Rachel",1241
1937,"Phoebe",121
1937,"Monica",292
1937,"Ross",465
1937,"Chandler",23
1937,"Joey",49
1938,"Rachel",1288
1938,"Phoebe",151
1938,"Monica",269
1938,"Ross",485
1938,"Chandler",15
1938,"Joey",42
1939,"Rachel",1354
1939,"Phoebe",143
1939,"Monica",255
1939,"Ross",485
1939,"Chandler",22
1939,"Joey",59
1940,"Rachel",1271
1940,"Phoebe",150
1940,"Monica",286
1940,"Ross",458
1940,"Chandler",11
1940,"Joey",69
1941,"Rachel",1402
1941,"Phoebe",155
1941,"Monica",261
1941,"Ross",518
1941,"Chandler",15
1941,"Joey",60
1942,"Rachel",1436
1942,"Phoebe",127
1942,"Monica",325
1942,"Ross",556
1942,"Chandler",24
1942,"Joey",118
1943,"Rachel",1379
1943,"Phoebe",128
1943,"Monica",299
1943,"Ross",584
1943,"Chandler",23
1943,"Joey",145
1944,"Rachel",1249
1944,"Phoebe",112
1944,"Monica",342
1944,"Ross",571
1944,"Chandler",20
1944,"Joey",157
1945,"Rachel",1215
1945,"Phoebe",101
1945,"Monica",400
1945,"Ross",560
1945,"Chandler",18
1945,"Joey",140
1946,"Rachel",1234
1946,"Phoebe",117
1946,"Monica",457
1946,"Ross",650
1946,"Chandler",22
1946,"Joey",137
1947,"Rachel",1447
1947,"Phoebe",127
1947,"Monica",614
1947,"Ross",789
1947,"Chandler",32
1947,"Joey",188
1948,"Rachel",1388
1948,"Phoebe",105
1948,"Monica",852
1948,"Ross",720
1948,"Chandler",19
1948,"Joey",168
1949,"Rachel",1444
1949,"Phoebe",107
1949,"Monica",826
1949,"Ross",763
1949,"Chandler",21
1949,"Joey",169
1950,"Rachel",1453
1950,"Phoebe",99
1950,"Monica",1057
1950,"Ross",774
1950,"Chandler",23
1950,"Joey",215
1951,"Rachel",1442
1951,"Phoebe",109
1951,"Monica",1298
1951,"Ross",888
1951,"Chandler",22
1951,"Joey",222
1952,"Rachel",1612
