time,wind_speed
2019/6/13 14:10,2.320282
2019/6/13 14:20,1.839971
2019/6/13 14:30,0.988341
2019/6/13 14:40,1.977655
2019/6/13 14:50,1.03953
2019/6/13 15:00,0.887063
2019/6/13 15:10,0.755118
2019/6/13 15:20,1.417094
2019/6/13 15:30,0.869434
2019/6/13 15:40,0.729408
2019/6/13 15:50,0.516019
2019/6/13 16:00,0.847397
2019/6/13 16:10,1.10284
2019/6/13 16:20,1.282257
2019/6/13 16:30,1.609274
2019/6/13 16:40,1.376969
2019/6/13 16:50,1.257236
2019/6/13 17:00,0.635982
2019/6/13 17:10,1.196864
2019/6/13 17:20,1.739612
2019/6/13 17:30,1.303834
2019/6/13 17:40,0.822927
2019/6/13 17:50,1.912234
2019/6/13 18:00,2.3964
2019/6/13 18:10,4.295192
2019/6/13 18:20,3.139224
2019/6/13 18:30,3.146203
2019/6/13 18:40,2.610341
2019/6/13 18:50,1.90195
2019/6/13 19:00,1.834692
2019/6/13 19:10,2.110152
2019/6/13 19:20,2.066308
2019/6/13 19:30,1.897451
2019/6/13 19:40,2.766297
2019/6/13 19:50,3.648091
2019/6/13 20:00,3.496266
2019/6/13 20:10,2.930517
2019/6/13 20:20,3.427952
2019/6/13 20:30,2.39337
2019/6/13 20:40,1.968749
2019/6/13 20:50,1.076121
2019/6/13 21:00,0.834175
2019/6/13 21:10,2.001804
2019/6/13 21:20,2.640963
2019/6/13 21:30,1.318296
2019/6/13 21:40,0.776328
2019/6/13 21:50,1.421456
2019/6/13 22:00,1.824132
2019/6/13 22:10,2.028432
2019/6/13 22:20,2.093486
2019/6/13 22:30,2.294802
2019/6/13 22:40,2.125991
2019/6/13 22:50,1.370266
2019/6/13 23:00,1.291301
2019/6/13 23:10,1.337716
2019/6/13 23:20,1.999692
2019/6/13 23:30,2.587616
2019/6/13 23:40,1.995606
2019/6/13 23:50,1.498493
2019/6/14 0:00,0.897209
2019/6/14 0:10,0.479979
2019/6/14 0:20,0.508214
2019/6/14 0:30,0.891333
2019/6/14 0:40,1.621164
2019/6/14 0:50,1.893548
2019/6/14 1:00,1.733781
2019/6/14 1:10,1.347311
2019/6/14 1:20,0.701816
2019/6/14 1:30,2.023933
2019/6/14 1:40,1.69967
2019/6/14 1:50,0.742676
2019/6/14 2:00,1.032414
2019/6/14 2:10,2.178512
