"FIPS","GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio"
"SA","SA","Saudi Arabia","2023","26","539490","1.5010932446324279","291274","1.4313632959695983","248216","1.5921084744806018","1.1734698810713249"
"SA","SA","Saudi Arabia","2023","27","544049","1.5137783437117052","298090","1.4648581229206095","245959","1.5776316122843586","1.2119499591395313"
"SA","SA","Saudi Arabia","2023","28","566717","1.5768504704783324","312124","1.533823263975552","254593","1.6330118640355167","1.2259724344345682"
"SA","SA","Saudi Arabia","2023","29","588350","1.6370427820339377","325818","1.601117595000661","262532","1.6839342428463164","1.2410601374308656"
"SA","SA","Saudi Arabia","2023","30","608744","1.693787662626782","339967","1.670647862977459","268777","1.7239909572528471","1.2648664134207912"
"SA","SA","Saudi Arabia","2023","31","622655","1.7324940485210187","351258","1.7261334984093644","271397","1.740796176107148","1.29425896380579"
"SA","SA","Saudi Arabia","2023","32","637414","1.773559935187185","362603","1.781884497787184","274811","1.762694274263096","1.3194631947047244"
"SA","SA","Saudi Arabia","2023","33","653140","1.8173164318137944","375055","1.8430754580562554","278085","1.7836943836253025","1.3487063307981373"
"SA","SA","Saudi Arabia","2023","34","668097","1.858933239650765","387587","1.9046595500970518","280510","1.7992488323740354","1.3817225767352324"
"SA","SA","Saudi Arabia","2023","35","683171","1.9008755918159381","400859","1.9698801110263093","282312","1.8108072309906194","1.4199148459860014"
"SA","SA","Saudi Arabia","2023","36","698661","1.9439754349258314","415205","2.0403784659909814","283456","1.8181450822766196","1.4647952415895236"
"SA","SA","Saudi Arabia","2023","37","712686","1.9829990178578036","429549","2.1108669926613604","283137","1.8160989506680234","1.517106559721972"
"SA","SA","Saudi Arabia","2023","38","722241","2.0095851379943452","441897","2.1715468816271883","280344","1.798184074232885","1.576267014810376"
"SA","SA","Saudi Arabia","2023","39","724340","2.015425458890902","450137","2.2120394541149127","274203","1.7587944372159912","1.6416195300561993"
"SA","SA","Saudi Arabia","2023","40","727290","2.0236336278498555","457301","2.2472444042729296","269989","1.7317649745243788","1.6937764131131268"
"SA","SA","Saudi Arabia","2023","41","735706","2.0470505600391946","465914","2.289569953646324","269792","1.7305013760074712","1.726937789111612"
"SA","SA","Saudi Arabia","2023","42","738101","2.053714480261802","470334","2.3112904840341573","267767","1.7175126095265707","1.7565047223892414"
"SA","SA","Saudi Arabia","2023","43","731426","2.0351417589733236","468358","2.301580129272538","263068","1.6873722570852117","1.7803685739048458"
"SA","SA","Saudi Arabia","2023","44","715916","1.9919862672603186","460128","2.261136698256279","255788","1.6406768398106655","1.7988646848171141"
"SA","SA","Saudi Arabia","2023","45","683437","1.9016157182373217","438669","2.155684014638065","244768","1.569992293331888","1.7921828016734214"
"SA","SA","Saudi Arabia","2023","46","634335","1.7649928327381623","405683","1.9935859568613559","228652","1.4666209547609281","1.7742377062085615"
"SA","SA","Saudi Arabia","2023","47","585552","1.6292575424586322","373168","1.8338024623906806","212384","1.362274656928192","1.7570438451107429"
"SA","SA","Saudi Arabia","2023","48","543244","1.5115384874364652","343348","1.6872625944800075","199896","1.2821740565264703","1.717633169248009"
"SA","SA","Saudi Arabia","2023","49","504415","1.403499506925552","317077","1.5581630347925057","187338","1.201624461727878","1.69253968762344"
"SA","SA","Saudi Arabia","2023","50","468198","1.3027282339810071","293295","1.4412947873528132","174903","1.121863814226644","1.6769009107905524"
"SA","SA","Saudi Arabia","2023","51","433097","1.2050621530900862","270661","1.3300679808373814","162436","1.0418979121439835","1.6662624048856165"
"SA","SA","Saudi Arabia","2023","52","398713","1.1093910746207145","248809","1.2226840373905663","149904","0.9615150866928003","1.6597889315828798"
"SA","SA","Saudi Arabia","2023","53","364379","1.0138591176591214","228563","1.12319221426114","135816","0.8711517572197498","1.682887141426636"
"SA","SA","Saudi Arabia","2023","54","334104","0.929621044699017","210483","1.0343444338511814","123621","0.7929305190792151","1.7026476084160458"
